year,rank,constructor,points
2015,1,Mercedes,703
2015,2,Ferrari,428
2015,3,Williams Mercedes,257
2015,4,Red Bull Racing Renault,187
2015,5,Force India Mercedes,136
2015,6,Lotus Mercedes,78
2015,7,STR Renault,67
2015,8,Sauber Ferrari,36
2016,1,Mercedes,765
2016,2,Red Bull Racing TAG Heuer,468
2016,3,Ferrari,398
2016,4,Force India Mercedes,173
2016,5,Williams Mercedes,138
2016,6,McLaren Honda,76
2016,7,Toro Rosso Ferrari,63
2016,8,Haas Ferrari,29
2017,1,Mercedes,668
2017,2,Ferrari,522
2017,3,Red Bull Racing TAG Heuer,368
2017,4,Force India Mercedes,187
2017,5,Williams Mercedes,83
2017,6,Renault,57
2017,7,Toro Rosso,53
2017,8,Haas Ferrari,47
2018,1,Mercedes,655
2018,2,Ferrari,571
2018,3,Red Bull Racing TAG Heuer,419
2018,4,Renault,122
2018,5,Haas Ferrari,93
2018,6,McLaren Renault,62
2018,7,Force India Mercedes,52
2018,8,Sauber Ferrari,48
2019,1,Mercedes,739
2019,2,Ferrari,504
2019,3,Red Bull Racing Honda,417
2019,4,McLaren Renault,145
2019,5,Renault,91
2019,6,Scuderia Toro Rosso Honda,85
2019,7,Racing Point BWT Mercedes,73
2019,8,Alfa Romeo Racing Ferrari,57
2020,1,Mercedes,573
2020,2,Red Bull Racing Honda,319
2020,3,McLaren Renault,202
2020,4,Racing Point BWT Mercedes,195
2020,5,Renault,181
2020,6,Ferrari,131
2020,7,AlphaTauri,107
2020,8,Alfa Romeo Racing Ferrari,8
2021,1,Mercedes,613.5
2021,2,Red Bull Racing Honda,585.5
2021,3,Ferrari,323.5
2021,4,McLaren Mercedes,275
2021,5,Alpine Renault,155
2021,6,Alpha Tauri,142
2021,7,Aston Martin Mercedes,77
2021,8,Williams Mercedes,23
2022,1,Red Bull Racing RBPT,759
2022,2,Ferrari,554
2022,3,Mercedes,515
2022,4,Alpine Renault,173
2022,5,McLaren Mercedes,159
2022,6,Alfa Romeo Ferrari,55
2022,7,Aston Martin Aramco Mercedes,55
2022,8,Haas Ferrari,37
2023,1,Red Bull Racing Honda RBPT,860
2023,2,Mercedes,409
2023,3,Ferrari,406
2023,4,McLaren Mercedes,302
2023,5,Aston Martin Aramco Mercedes,280
2023,6,Alpine Renault,120
2023,7,Williams Mercedes,28
2023,8,AlphaTauri RBPT,25
2024,1,McLaren Mercedes,666
2024,2,Ferrari,652
2024,3,Red Bull Racing Honda RBPT,589
2024,4,Mercedes,468
2024,5,Aston Martin Aramco Mercedes,94
2024,6,Alpine Renault,65
2024,7,Haas Ferrari,58
2024,8,RB Honda RBPT,46
